time,user,filtered_emg,gesture
0.0,1,-1,Hand is at Rest
0.1,1,-1,Hand is at Rest
0.2,1,-1,Hand is at Rest
0.301,1,-1,Hand is at Rest
0.401,1,8,Hand is at Rest
0.501,1,12,Hand is at Rest
0.602,1,16,Hand is at Rest
0.702,1,18,Hand is at Rest
0.802,1,24,Hand is at Rest
0.903,1,39,Hand is at Rest
1.003,1,41,Hand is Moving
1.103,1,40,Hand is at Rest
1.205,1,54,Hand is Moving
1.305,1,60,Hand is Moving
1.405,1,60,Hand is Moving
1.506,1,61,Hand is Moving
1.606,1,60,Hand is Moving
1.707,1,68,Hand is Moving
1.807,1,65,Hand is Moving
1.907,1,52,Hand is Moving
2.009,1,60,Hand is Moving
2.109,1,69,Hand is Moving
2.209,1,71,Hand is Moving
2.31,1,82,Hand is Moving
2.41,1,95,Hand is Moving
2.51,1,98,Hand is Moving
2.611,1,101,Hand is Moving
2.711,1,93,Hand is Moving
2.811,1,93,Hand is Moving
2.913,1,95,Hand is Moving
3.013,1,91,Hand is Moving
3.113,1,80,Hand is Moving
3.214,1,63,Hand is Moving
3.314,1,46,Hand is Moving
3.415,1,30,Hand is at Rest
3.515,1,24,Hand is at Rest
3.615,1,18,Hand is at Rest
3.717,1,18,Hand is at Rest
3.817,1,20,Hand is at Rest
3.917,1,22,Hand is at Rest
4.018,1,26,Hand is at Rest
4.118,1,38,Hand is at Rest
4.218,1,44,Hand is Moving
4.319,1,51,Hand is Moving
4.419,1,52,Hand is Moving
4.52,1,60,Hand is Moving
4.621,1,60,Hand is Moving
4.721,1,64,Hand is Moving
4.822,1,60,Hand is Moving
4.922,1,58,Hand is Moving
5.022,1,49,Hand is Moving
5.123,1,45,Hand is Moving
5.223,1,46,Hand is Moving
5.323,1,46,Hand is Moving
5.425,1,52,Hand is Moving
5.525,1,53,Hand is Moving
5.625,1,66,Hand is Moving
5.726,1,76,Hand is Moving
5.826,1,83,Hand is Moving
5.926,1,86,Hand is Moving
6.027,1,86,Hand is Moving
6.127,1,77,Hand is Moving
6.228,1,74,Hand is Moving
6.329,1,70,Hand is Moving
6.429,1,64,Hand is Moving
6.53,1,54,Hand is Moving
6.63,1,41,Hand is Moving
6.73,1,28,Hand is at Rest
6.831,1,20,Hand is at Rest
6.931,1,14,Hand is at Rest
7.032,1,13,Hand is at Rest
7.133,1,13,Hand is at Rest
7.233,1,10,Hand is at Rest
7.333,1,7,Hand is at Rest
7.434,1,9,Hand is at Rest
7.534,1,10,Hand is at Rest
7.634,1,15,Hand is at Rest
7.735,1,21,Hand is at Rest
7.835,1,22,Hand is at Rest
7.937,1,31,Hand is at Rest
8.037,1,38,Hand is at Rest
8.137,1,46,Hand is Moving
8.238,1,51,Hand is Moving
8.338,1,62,Hand is Moving
8.438,1,59,Hand is Moving
8.539,1,67,Hand is Moving
8.639,1,64,Hand is Moving
8.74,1,63,Hand is Moving
8.841,1,64,Hand is Moving
8.941,1,60,Hand is Moving
9.041,1,64,Hand is Moving
9.142,1,57,Hand is Moving
9.242,1,63,Hand is Moving
9.342,1,69,Hand is Moving
9.443,1,83,Hand is Moving
9.544,1,86,Hand is Moving
9.645,1,93,Hand is Moving
9.745,1,92,Hand is Moving
9.845,1,93,Hand is Moving
9.946,1,89,Hand is Moving
10.046,1,78,Hand is Moving
10.146,1,78,Hand is Moving
10.247,1,68,Hand is Moving
10.348,1,54,Hand is Moving
10.448,1,38,Hand is at Rest
10.549,1,26,Hand is at Rest
10.649,1,17,Hand is at Rest
10.749,1,13,Hand is at Rest
10.85,1,10,Hand is at Rest
10.951,1,9,Hand is at Rest
11.052,1,8,Hand is at Rest
11.152,1,8,Hand is at Rest
11.252,1,7,Hand is at Rest
11.353,1,5,Hand is at Rest
11.453,1,5,Hand is at Rest
11.554,1,5,Hand is at Rest
11.655,1,5,Hand is at Rest
11.755,1,6,Hand is at Rest
11.855,1,5,Hand is at Rest
11.956,1,6,Hand is at Rest
12.056,1,7,Hand is at Rest
12.156,1,7,Hand is at Rest
12.258,1,8,Hand is at Rest
12.358,1,9,Hand is at Rest
12.459,1,11,Hand is at Rest
12.559,1,13,Hand is at Rest
12.659,1,14,Hand is at Rest
12.76,1,15,Hand is at Rest
12.861,1,20,Hand is at Rest
12.961,1,28,Hand is at Rest
13.062,1,28,Hand is at Rest
13.162,1,36,Hand is at Rest
13.262,1,35,Hand is at Rest
13.363,1,39,Hand is at Rest
13.464,1,41,Hand is Moving
13.564,1,47,Hand is Moving
13.665,1,48,Hand is Moving
13.765,1,48,Hand is Moving
13.865,1,53,Hand is Moving
13.966,1,52,Hand is Moving
14.067,1,55,Hand is Moving
14.168,1,56,Hand is Moving
14.268,1,65,Hand is Moving
14.368,1,65,Hand is Moving
14.469,1,74,Hand is Moving
14.569,1,79,Hand is Moving
14.67,1,89,Hand is Moving
14.771,1,95,Hand is Moving
14.871,1,94,Hand is Moving
14.971,1,91,Hand is Moving
15.072,1,90,Hand is Moving
15.172,1,87,Hand is Moving
15.272,1,82,Hand is Moving
15.374,1,81,Hand is Moving
15.474,1,69,Hand is Moving
15.575,1,55,Hand is Moving
15.675,1,43,Hand is Moving
15.775,1,35,Hand is at Rest
15.876,1,28,Hand is at Rest
15.977,1,22,Hand is at Rest
16.077,1,19,Hand is at Rest
16.178,1,14,Hand is at Rest
16.278,1,10,Hand is at Rest
16.378,1,6,Hand is at Rest
16.479,1,5,Hand is at Rest
16.58,1,15,Hand is at Rest
16.68,1,15,Hand is at Rest
16.781,1,23,Hand is at Rest
16.881,1,27,Hand is at Rest
16.982,1,37,Hand is at Rest
17.082,1,48,Hand is Moving
17.183,1,55,Hand is Moving
17.284,1,60,Hand is Moving
17.384,1,66,Hand is Moving
17.484,1,66,Hand is Moving
17.585,1,62,Hand is Moving
17.685,1,66,Hand is Moving
17.786,1,60,Hand is Moving
17.887,1,65,Hand is Moving
17.987,1,57,Hand is Moving
18.087,1,53,Hand is Moving
18.188,1,54,Hand is Moving
18.288,1,50,Hand is Moving
18.388,1,55,Hand is Moving
18.49,1,68,Hand is Moving
18.59,1,75,Hand is Moving
18.691,1,86,Hand is Moving
18.791,1,94,Hand is Moving
18.891,1,93,Hand is Moving
18.992,1,94,Hand is Moving
19.093,1,91,Hand is Moving
19.193,1,84,Hand is Moving
19.294,1,85,Hand is Moving
19.394,1,77,Hand is Moving
19.494,1,66,Hand is Moving
19.595,1,54,Hand is Moving
19.696,1,40,Hand is at Rest
19.796,1,28,Hand is at Rest
19.897,1,20,Hand is at Rest
19.997,1,17,Hand is at Rest
20.098,1,13,Hand is at Rest
20.198,1,11,Hand is at Rest
20.299,1,10,Hand is at Rest
20.4,1,9,Hand is at Rest
20.5,1,7,Hand is at Rest
20.6,1,6,Hand is at Rest
20.701,1,6,Hand is at Rest
20.801,1,8,Hand is at Rest
