time,filtered_emg,gesture
0.0,-1,0
0.05,-1,0
0.1,-1,0
0.15,-1,0
0.2,3,0
0.251,4,0
0.302,6,0
0.352,8,0
0.402,8,0
0.453,9,0
0.503,10,0
0.553,10,0
0.604,10,0
0.655,9,0
0.705,9,0
0.755,10,0
0.805,10,0
0.857,8,0
0.907,9,0
0.957,9,0
1.007,10,0
1.058,9,0
1.108,11,0
1.159,10,0
1.21,12,0
1.26,11,0
1.31,11,0
1.36,10,0
1.412,12,0
1.462,13,0
1.512,13,0
1.563,13,0
1.613,16,0
1.664,18,0
1.715,18,0
1.765,18,0
1.815,18,0
1.865,19,0
1.916,20,0
1.967,18,0
2.017,18,0
2.068,18,0
2.118,17,0
2.168,17,0
2.219,17,0
2.27,20,0
2.32,18,0
2.37,19,0
2.421,15,0
2.471,16,0
2.522,14,0
2.572,14,0
2.623,13,0
2.673,11,0
2.723,11,0
2.775,11,0
2.825,11,0
2.875,15,0
2.926,15,0
2.976,15,0
3.026,15,0
3.077,18,0
3.128,19,0
3.178,19,0
3.228,18,0
3.279,17,0
3.33,19,0
3.38,17,0
3.43,20,0
3.481,21,0
3.531,22,0
3.581,23,0
3.633,21,0
3.683,20,0
3.733,20,0
3.783,19,0
3.834,20,0
3.885,19,0
3.935,18,0
3.986,17,0
4.036,17,0
4.086,16,0
4.137,18,0
4.188,20,0
4.238,20,0
4.288,21,0
4.339,23,0
4.389,27,0
4.44,36,1
4.491,44,1
4.541,55,1
4.591,58,1
4.641,56,1
4.692,59,1
4.743,61,1
4.793,58,1
4.844,55,1
4.894,50,1
4.944,42,1
4.995,34,1
5.046,25,0
5.096,22,0
5.146,21,0
5.197,16,0
5.248,17,0
5.298,17,0
5.349,16,0
5.399,18,0
5.449,17,0
5.499,16,0
5.551,13,0
5.601,11,0
5.651,13,0
5.702,13,0
5.752,11,0
5.803,13,0
5.853,16,0
5.904,17,0
5.954,19,0
6.004,23,0
6.055,27,0
6.106,30,0
6.156,28,0
6.206,29,0
6.257,29,0
6.307,28,0
6.358,27,0
6.409,23,0
6.459,24,0
6.509,24,0
6.56,23,0
6.61,21,0
6.661,22,0
6.711,24,0
6.762,23,0
6.812,21,0
6.862,22,0
6.914,23,0
6.964,23,0
7.014,20,0
7.064,20,0
7.115,20,0
7.165,21,0
7.216,22,0
7.267,24,0
7.317,31,0
7.367,31,0
7.417,33,1
7.469,31,0
7.519,28,0
7.569,28,0
7.62,28,0
7.67,25,0
7.72,26,0
7.772,22,0
7.822,16,0
7.872,15,0
7.922,12,0
7.973,12,0
8.024,14,0
8.074,15,0
8.125,14,0
8.175,15,0
8.225,12,0
8.275,14,0
8.327,13,0
8.377,14,0
8.427,13,0
8.478,12,0
8.528,11,0
8.579,10,0
8.629,10,0
8.68,9,0
8.73,9,0
8.78,9,0
8.832,14,0
8.882,15,0
8.932,15,0
8.983,15,0
9.033,15,0
9.083,15,0
9.134,15,0
9.185,16,0
9.235,16,0
9.285,16,0
9.336,12,0
9.387,14,0
9.437,14,0
9.487,14,0
9.538,15,0
9.588,14,0
9.638,13,0
9.69,14,0
9.74,20,0
9.79,22,0
9.84,27,0
9.891,30,0
9.942,32,1
9.992,40,1
10.043,43,1
10.093,49,1
10.143,64,1
10.194,64,1
10.245,61,1
10.295,65,1
10.346,74,1
10.396,86,1
10.446,105,1
10.498,115,1
10.548,125,1
10.598,131,1
10.649,127,1
10.699,129,1
10.749,127,1
10.801,117,1
10.851,106,1
10.901,89,1
10.952,71,1
11.002,53,1
11.053,41,1
11.104,31,0
11.154,24,0
11.204,22,0
11.255,24,0
11.305,24,0
11.356,23,0
11.407,23,0
11.457,21,0
11.507,23,0
11.558,25,0
11.609,27,0
11.659,25,0
11.71,25,0
11.76,24,0
11.81,27,0
11.862,25,0
11.912,26,0
11.962,26,0
12.013,24,0
12.063,21,0
12.113,18,0
12.165,18,0
12.215,17,0
12.265,18,0
12.316,16,0
12.366,16,0
12.417,16,0
12.468,17,0
12.518,17,0
12.568,19,0
12.619,20,0
12.669,20,0
12.72,18,0
12.771,17,0
12.821,17,0
12.871,16,0
12.922,15,0
12.973,15,0
13.023,14,0
13.074,13,0
13.124,13,0
13.174,14,0
13.225,14,0
13.276,17,0
13.326,18,0
13.377,18,0
13.427,18,0
13.477,19,0
13.529,18,0
13.579,15,0
13.629,14,0
13.68,15,0
13.73,15,0
13.78,12,0
13.832,11,0
13.882,13,0
13.932,13,0
13.983,12,0
14.033,13,0
14.084,14,0
14.135,12,0
14.185,11,0
14.235,11,0
14.286,12,0
14.337,11,0
14.387,9,0
14.438,9,0
14.488,7,0
14.538,8,0
14.589,9,0
14.64,9,0
14.69,9,0
14.741,8,0
14.791,8,0
14.841,7,0
14.893,8,0
14.943,7,0
14.993,7,0
15.044,6,0
15.094,6,0
15.144,6,0
15.196,7,0
15.246,7,0
15.296,8,0
15.347,9,0
15.397,10,0
15.448,11,0
15.499,12,0
15.549,11,0
15.599,10,0
15.65,11,0
15.7,10,0
15.751,12,0
15.802,11,0
15.852,10,0
15.902,8,0
15.953,8,0
16.004,10,0
16.054,14,0
16.105,18,0
16.155,22,0
16.205,26,0
16.257,27,0
16.307,31,0
16.357,31,0
16.408,33,1
16.458,35,1
16.508,32,1
16.56,34,1
16.61,37,1
16.66,44,1
16.711,51,1
16.761,51,1
16.812,48,1
16.863,48,1
16.913,46,1
16.963,46,1
17.014,47,1
17.064,47,1
17.115,41,1
17.166,30,0
17.216,20,0
17.266,17,0
17.317,16,0
17.368,17,0
17.418,18,0
17.469,16,0
17.519,16,0
17.569,16,0
17.62,17,0
17.671,17,0
17.721,19,0
17.772,19,0
17.822,19,0
17.872,19,0
17.924,18,0
17.974,19,0
18.024,18,0
18.075,14,0
18.125,11,0
18.176,11,0
18.227,10,0
18.277,12,0
18.327,14,0
18.378,15,0
18.428,17,0
18.479,17,0
18.53,16,0
18.58,17,0
18.63,17,0
18.681,18,0
18.732,19,0
18.782,19,0
18.833,17,0
18.883,15,0
18.933,17,0
18.984,20,0
19.035,23,0
19.085,26,0
19.136,25,0
19.186,25,0
19.236,25,0
19.288,25,0
19.338,29,0
19.388,30,0
19.439,28,0
19.489,29,0
19.539,28,0
19.591,25,0
19.641,28,0
19.691,28,0
19.742,26,0
19.792,26,0
19.843,23,0
19.894,23,0
19.944,23,0
19.994,21,0
20.045,20,0
20.096,24,0
20.146,23,0
20.197,24,0
20.247,28,0
20.297,35,1
20.348,47,1
20.399,57,1
20.449,76,1
20.5,94,1
20.55,105,1
20.6,114,1
20.652,118,1
20.702,126,1
20.752,121,1
20.803,122,1
20.853,120,1
20.903,113,1
20.955,92,1
21.005,80,1
21.055,69,1
21.106,58,1
21.156,66,1
21.207,70,1
21.258,85,1
21.308,82,1
21.358,87,1
21.409,103,1
21.459,119,1
21.51,121,1
21.561,130,1
21.611,136,1
21.661,128,1
21.712,114,1
21.763,100,1
21.813,94,1
21.864,80,1
21.914,64,1
21.964,49,1
22.016,39,1
22.066,29,0
22.116,20,0
22.167,15,0
22.217,14,0
22.267,13,0
22.319,13,0
22.369,11,0
22.419,9,0
22.47,8,0
22.52,6,0
