time,filtered_emg,gesture
0.0,-1,0
0.05,-1,0
0.1,-1,0
0.15,-1,0
0.2,2,0
0.251,2,0
0.302,2,0
0.352,2,0
0.402,3,0
0.453,4,0
0.503,4,0
0.553,4,0
0.604,4,0
0.655,4,0
0.705,4,0
0.755,4,0
0.805,5,0
0.857,5,0
0.907,6,0
0.957,6,0
1.007,6,0
1.058,7,0
1.108,7,0
1.159,7,0
1.21,7,0
1.26,8,0
1.31,8,0
1.36,8,0
1.412,7,0
1.462,7,0
1.512,7,0
1.563,7,0
1.613,6,0
1.664,6,0
1.715,6,0
1.765,5,0
1.815,4,0
1.865,4,0
1.916,5,0
1.967,4,0
2.017,5,0
2.068,6,0
2.118,5,0
2.168,6,0
2.219,5,0
2.27,4,0
2.32,5,0
2.37,5,0
2.421,5,0
2.471,5,0
2.522,4,0
2.572,3,0
2.623,4,0
2.673,4,0
2.723,5,0
2.775,6,0
2.825,7,0
2.875,9,0
2.926,12,0
2.976,16,0
3.026,20,0
3.077,22,0
3.128,25,0
3.178,32,0
3.228,40,0
3.279,47,1
3.33,51,1
3.38,50,1
3.43,52,1
3.481,49,1
3.531,48,1
3.581,52,1
3.633,49,1
3.683,44,0
3.733,37,0
3.783,32,0
3.834,30,0
3.885,33,0
3.935,29,0
3.986,32,0
4.036,31,0
4.086,27,0
4.137,26,0
4.188,27,0
4.238,26,0
4.288,23,0
4.339,23,0
4.389,18,0
4.44,23,0
4.491,20,0
4.541,17,0
4.591,19,0
4.641,24,0
4.692,21,0
4.743,23,0
4.793,27,0
4.844,29,0
4.894,31,0
4.944,28,0
4.995,28,0
5.046,41,0
5.096,40,0
5.146,35,0
5.197,38,0
5.248,37,0
5.298,36,0
5.349,38,0
5.399,44,0
5.449,51,1
5.499,50,1
5.551,38,0
5.601,44,0
5.651,49,1
5.702,50,1
5.752,57,1
5.803,64,1
5.853,57,1
5.904,58,1
5.954,50,1
6.004,58,1
6.055,57,1
6.106,55,1
6.156,57,1
6.206,59,1
6.257,55,1
6.307,48,1
6.358,47,1
6.409,40,0
6.459,42,0
6.509,37,0
6.56,36,0
6.61,35,0
6.661,28,0
6.711,22,0
6.762,22,0
6.812,24,0
6.862,28,0
6.914,28,0
6.964,27,0
7.014,26,0
7.064,30,0
7.115,28,0
7.165,29,0
7.216,30,0
7.267,27,0
7.317,28,0
7.367,28,0
7.417,27,0
7.469,30,0
7.519,30,0
7.569,28,0
7.62,29,0
7.67,30,0
7.72,29,0
7.772,29,0
7.822,25,0
7.872,25,0
7.922,23,0
7.973,20,0
8.024,18,0
8.074,17,0
8.125,15,0
8.175,13,0
8.225,14,0
8.275,14,0
8.327,15,0
8.377,12,0
8.427,13,0
8.478,14,0
8.528,15,0
8.579,14,0
8.629,17,0
8.68,18,0
8.73,17,0
8.78,16,0
8.832,16,0
8.882,14,0
8.932,16,0
8.983,18,0
9.033,16,0
9.083,18,0
9.134,15,0
9.185,14,0
9.235,14,0
9.285,16,0
9.336,15,0
9.387,16,0
9.437,15,0
9.487,13,0
9.538,12,0
9.588,10,0
9.638,10,0
9.69,11,0
9.74,10,0
9.79,9,0
9.84,11,0
9.891,12,0
9.942,13,0
9.992,15,0
10.043,15,0
10.093,15,0
10.143,15,0
10.194,16,0
10.245,16,0
10.295,15,0
10.346,15,0
10.396,14,0
10.446,13,0
10.498,13,0
10.548,14,0
10.598,14,0
10.649,14,0
10.699,13,0
10.749,12,0
10.801,15,0
10.851,14,0
10.901,13,0
10.952,11,0
11.002,9,0
11.053,8,0
11.104,10,0
11.154,9,0
11.204,10,0
11.255,10,0
11.305,7,0
11.356,8,0
11.407,10,0
11.457,12,0
11.507,13,0
11.558,13,0
11.609,13,0
11.659,15,0
11.71,15,0
11.76,15,0
11.81,15,0
11.862,14,0
11.912,11,0
11.962,10,0
12.013,9,0
12.063,12,0
12.113,10,0
12.165,9,0
12.215,13,0
12.265,18,0
12.316,18,0
12.366,18,0
12.417,21,0
12.468,25,0
12.518,27,0
12.568,25,0
12.619,26,0
12.669,27,0
12.72,26,0
12.771,21,0
12.821,24,0
12.871,25,0
12.922,23,0
12.973,19,0
13.023,17,0
13.074,19,0
13.124,19,0
13.174,21,0
13.225,18,0
13.276,21,0
13.326,25,0
13.377,39,0
13.427,51,1
13.477,52,1
13.529,52,1
13.579,52,1
13.629,56,1
13.68,57,1
13.73,60,1
13.78,56,1
13.832,51,1
13.882,37,0
13.932,29,0
13.983,33,0
14.033,33,0
14.084,33,0
14.135,29,0
14.185,26,0
14.235,24,0
14.286,31,0
14.337,29,0
14.387,31,0
14.438,30,0
14.488,28,0
14.538,27,0
14.589,27,0
14.64,32,0
14.69,34,0
14.741,45,0
14.791,40,0
14.841,39,0
14.893,38,0
14.943,40,0
14.993,49,1
15.044,57,1
15.094,69,1
15.144,71,1
15.196,75,1
15.246,72,1
15.296,78,1
15.347,81,1
15.397,84,1
15.448,85,1
15.499,74,1
15.549,71,1
15.599,59,1
15.65,54,1
15.7,49,1
15.751,48,1
15.802,42,0
15.852,46,1
15.902,49,1
15.953,41,0
16.004,49,1
16.054,46,1
16.105,51,1
16.155,57,1
16.205,61,1
16.257,54,1
16.307,54,1
16.357,54,1
16.408,56,1
16.458,65,1
16.508,67,1
16.56,76,1
16.61,75,1
16.66,75,1
16.711,70,1
16.761,70,1
16.812,74,1
16.863,70,1
16.913,70,1
16.963,63,1
17.014,55,1
17.064,45,0
17.115,40,0
17.166,39,0
17.216,37,0
17.266,39,0
17.317,37,0
17.368,36,0
17.418,32,0
17.469,31,0
17.519,33,0
17.569,33,0
17.62,34,0
17.671,29,0
17.721,30,0
17.772,29,0
17.822,28,0
17.872,29,0
17.924,25,0
17.974,27,0
18.024,25,0
18.075,26,0
18.125,25,0
18.176,26,0
18.227,25,0
18.277,26,0
18.327,27,0
18.378,25,0
18.428,25,0
18.479,22,0
18.53,21,0
18.58,18,0
18.63,19,0
18.681,20,0
18.732,21,0
18.782,18,0
18.833,19,0
18.883,18,0
18.933,20,0
18.984,19,0
19.035,21,0
19.085,22,0
19.136,23,0
19.186,22,0
19.236,22,0
19.288,24,0
19.338,22,0
19.388,24,0
19.439,22,0
19.489,22,0
19.539,22,0
19.591,21,0
19.641,18,0
19.691,20,0
19.742,20,0
19.792,19,0
19.843,19,0
19.894,19,0
19.944,19,0
19.994,18,0
20.045,20,0
20.096,18,0
20.146,18,0
20.197,15,0
20.247,14,0
20.297,14,0
20.348,13,0
20.399,12,0
20.449,11,0
20.5,11,0
20.55,9,0
20.6,9,0
20.652,11,0
20.702,11,0
20.752,10,0
20.803,12,0
20.853,17,0
20.903,20,0
20.955,21,0
21.005,23,0
21.055,22,0
21.106,22,0
21.156,19,0
21.207,21,0
21.258,24,0
21.308,20,0
21.358,16,0
21.409,11,0
21.459,10,0
21.51,10,0
21.561,10,0
21.611,11,0
21.661,12,0
21.712,13,0
21.763,11,0
21.813,12,0
21.864,15,0
21.914,17,0
21.964,16,0
22.016,16,0
22.066,17,0
22.116,18,0
22.167,18,0
22.217,17,0
22.267,17,0
22.319,19,0
22.369,16,0
22.419,14,0
22.47,15,0
22.52,15,0
