time,filtered_emg,gesture
0.0,-1,0
0.05,-1,0
0.1,-1,0
0.15,-1,0
0.2,0,0
0.251,0,0
0.302,0,0
0.352,0,0
0.402,1,0
0.453,1,0
0.503,2,0
0.553,2,0
0.604,2,0
0.655,2,0
0.705,2,0
0.755,2,0
0.805,3,0
0.857,3,0
0.907,3,0
0.957,2,0
1.007,2,0
1.058,2,0
1.108,3,0
1.159,3,0
1.21,4,0
1.26,4,0
1.31,4,0
1.36,4,0
1.412,5,0
1.462,6,0
1.512,7,0
1.563,6,0
1.613,6,0
1.664,7,0
1.715,7,0
1.765,7,0
1.815,7,0
1.865,6,0
1.916,6,0
1.967,5,0
2.017,4,0
2.068,4,0
2.118,4,0
2.168,3,0
2.219,2,0
2.27,1,0
2.32,1,0
2.37,1,0
2.421,0,0
2.471,0,0
2.522,0,0
2.572,0,0
2.623,0,0
2.673,0,0
2.723,0,0
2.775,1,0
2.825,2,0
2.875,4,0
2.926,8,0
2.976,13,0
3.026,13,0
3.077,15,0
3.128,16,0
3.178,18,0
3.228,21,0
3.279,21,0
3.33,20,0
3.38,19,0
3.43,15,0
3.481,12,0
3.531,13,0
3.581,15,0
3.633,14,0
3.683,12,0
3.733,14,0
3.783,17,0
3.834,21,0
3.885,22,0
3.935,28,0
3.986,26,0
4.036,29,0
4.086,27,0
4.137,27,0
4.188,28,0
4.238,26,0
4.288,24,0
4.339,22,0
4.389,23,0
4.44,18,0
4.491,18,0
4.541,17,0
4.591,18,0
4.641,18,0
4.692,20,0
4.743,21,0
4.793,22,0
4.844,21,0
4.894,22,0
4.944,25,0
4.995,27,0
5.046,28,0
5.096,25,0
5.146,25,0
5.197,30,0
5.248,32,0
5.298,43,0
5.349,44,0
5.399,42,0
5.449,44,0
5.499,46,0
5.551,48,0
5.601,49,0
5.651,55,1
5.702,53,1
5.752,51,0
5.803,45,0
5.853,44,0
5.904,45,0
5.954,42,0
6.004,38,0
6.055,35,0
6.106,36,0
6.156,34,0
6.206,32,0
6.257,31,0
6.307,25,0
6.358,23,0
6.409,27,0
6.459,29,0
6.509,37,0
6.56,43,0
6.61,49,0
6.661,54,1
6.711,59,1
6.762,60,1
6.812,66,1
6.862,70,1
6.914,68,1
6.964,63,1
7.014,56,1
7.064,47,0
7.115,38,0
7.165,30,0
7.216,21,0
7.267,16,0
7.317,11,0
7.367,8,0
7.417,6,0
7.469,7,0
7.519,8,0
7.569,10,0
7.62,12,0
7.67,12,0
7.72,13,0
7.772,13,0
7.822,12,0
7.872,12,0
7.922,12,0
7.973,11,0
8.024,9,0
8.074,7,0
8.125,5,0
8.175,5,0
8.225,4,0
8.275,4,0
8.327,4,0
8.377,4,0
8.427,3,0
8.478,3,0
8.528,3,0
8.579,3,0
8.629,3,0
8.68,3,0
8.73,3,0
8.78,3,0
8.832,3,0
8.882,3,0
8.932,3,0
8.983,3,0
9.033,2,0
9.083,2,0
9.134,2,0
9.185,2,0
9.235,2,0
9.285,2,0
9.336,2,0
9.387,2,0
9.437,2,0
9.487,2,0
9.538,2,0
9.588,2,0
9.638,2,0
9.69,2,0
9.74,2,0
9.79,3,0
9.84,3,0
9.891,3,0
9.942,4,0
9.992,4,0
10.043,4,0
10.093,6,0
10.143,8,0
10.194,10,0
10.245,12,0
10.295,18,0
10.346,25,0
10.396,28,0
10.446,30,0
10.498,35,0
10.548,42,0
10.598,46,0
10.649,44,0
10.699,44,0
10.749,43,0
10.801,39,0
10.851,34,0
10.901,31,0
10.952,27,0
11.002,24,0
11.053,18,0
11.104,15,0
11.154,19,0
11.204,20,0
11.255,19,0
11.305,22,0
11.356,25,0
11.407,28,0
11.457,30,0
11.507,28,0
11.558,30,0
11.609,28,0
11.659,25,0
11.71,26,0
11.76,28,0
11.81,24,0
11.862,22,0
11.912,23,0
11.962,21,0
12.013,26,0
12.063,23,0
12.113,23,0
12.165,26,0
12.215,23,0
12.265,26,0
12.316,33,0
12.366,39,0
12.417,44,0
12.468,50,0
12.518,53,1
12.568,56,1
12.619,62,1
12.669,58,1
12.72,63,1
12.771,60,1
12.821,56,1
12.871,53,1
12.922,48,0
12.973,42,0
13.023,36,0
13.074,39,0
13.124,43,0
13.174,55,1
13.225,62,1
13.276,73,1
13.326,81,1
13.377,84,1
13.427,88,1
13.477,93,1
13.529,97,1
13.579,94,1
13.629,87,1
13.68,77,1
13.73,67,1
13.78,54,1
13.832,43,0
13.882,33,0
13.932,26,0
13.983,20,0
14.033,16,0
14.084,12,0
14.135,10,0
14.185,9,0
14.235,7,0
14.286,8,0
14.337,8,0
14.387,10,0
14.438,10,0
14.488,11,0
14.538,11,0
14.589,11,0
14.64,11,0
14.69,10,0
14.741,9,0
14.791,8,0
14.841,7,0
14.893,6,0
14.943,5,0
14.993,4,0
15.044,4,0
15.094,4,0
15.144,4,0
15.196,5,0
15.246,5,0
15.296,4,0
15.347,4,0
15.397,4,0
15.448,3,0
15.499,3,0
15.549,3,0
15.599,2,0
15.65,2,0
15.7,2,0
15.751,2,0
15.802,2,0
15.852,2,0
15.902,2,0
15.953,3,0
16.004,4,0
16.054,6,0
16.105,6,0
16.155,7,0
16.205,8,0
16.257,9,0
16.307,9,0
16.357,11,0
16.408,12,0
16.458,11,0
16.508,10,0
16.56,9,0
16.61,9,0
16.66,8,0
16.711,7,0
16.761,6,0
16.812,5,0
16.863,3,0
16.913,3,0
16.963,2,0
17.014,2,0
17.064,2,0
17.115,4,0
17.166,5,0
17.216,8,0
17.266,10,0
17.317,15,0
17.368,15,0
17.418,20,0
17.469,25,0
17.519,31,0
17.569,38,0
17.62,44,0
17.671,47,0
17.721,56,1
17.772,65,1
17.822,69,1
17.872,76,1
17.924,79,1
17.974,80,1
18.024,84,1
18.075,82,1
18.125,82,1
18.176,85,1
18.227,85,1
18.277,92,1
18.327,86,1
18.378,88,1
18.428,97,1
18.479,109,1
18.53,107,1
18.58,110,1
18.63,121,1
18.681,117,1
18.732,105,1
18.782,94,1
18.833,96,1
18.883,93,1
18.933,87,1
18.984,78,1
19.035,79,1
19.085,82,1
19.136,69,1
19.186,72,1
19.236,80,1
19.288,80,1
19.338,77,1
19.388,73,1
19.439,66,1
19.489,63,1
19.539,56,1
19.591,48,0
19.641,45,0
19.691,42,0
19.742,37,0
19.792,32,0
19.843,31,0
19.894,30,0
19.944,26,0
19.994,23,0
20.045,21,0
20.096,20,0
20.146,20,0
20.197,17,0
20.247,14,0
20.297,14,0
20.348,12,0
20.399,11,0
20.449,12,0
20.5,11,0
20.55,10,0
20.6,9,0
20.652,7,0
20.702,6,0
20.752,6,0
20.803,4,0
20.853,5,0
20.903,6,0
20.955,5,0
21.005,4,0
21.055,5,0
21.106,4,0
21.156,5,0
21.207,5,0
21.258,5,0
21.308,6,0
21.358,6,0
21.409,6,0
21.459,7,0
21.51,7,0
21.561,7,0
21.611,7,0
21.661,7,0
21.712,6,0
21.763,6,0
21.813,6,0
21.864,6,0
21.914,6,0
21.964,5,0
22.016,5,0
22.066,4,0
22.116,5,0
22.167,4,0
22.217,5,0
22.267,5,0
22.319,5,0
22.369,4,0
22.419,4,0
22.47,3,0
22.52,4,0
