time,filtered_emg,gesture
0.0,-1,0
0.1,-1,0
0.2,-1,0
0.301,-1,0
0.401,8,0
0.501,12,0
0.602,16,0
0.702,18,0
0.802,24,0
0.903,39,0
1.003,41,1
1.103,40,0
1.205,54,1
1.305,60,1
1.405,60,1
1.506,61,1
1.606,60,1
1.707,68,1
1.807,65,1
1.907,52,1
2.009,60,1
2.109,69,1
2.209,71,1
2.31,82,1
2.41,95,1
2.51,98,1
2.611,101,1
2.711,93,1
2.811,93,1
2.913,95,1
3.013,91,1
3.113,80,1
3.214,63,1
3.314,46,1
3.415,30,0
3.515,24,0
3.615,18,0
3.717,18,0
3.817,20,0
3.917,22,0
4.018,26,0
4.118,38,0
4.218,44,1
4.319,51,1
4.419,52,1
4.52,60,1
4.621,60,1
4.721,64,1
4.822,60,1
4.922,58,1
5.022,49,1
5.123,45,1
5.223,46,1
5.323,46,1
5.425,52,1
5.525,53,1
5.625,66,1
5.726,76,1
5.826,83,1
5.926,86,1
6.027,86,1
6.127,77,1
6.228,74,1
6.329,70,1
6.429,64,1
6.53,54,1
6.63,41,1
6.73,28,0
6.831,20,0
6.931,14,0
7.032,13,0
7.133,13,0
7.233,10,0
7.333,7,0
7.434,9,0
7.534,10,0
7.634,15,0
7.735,21,0
7.835,22,0
7.937,31,0
8.037,38,0
8.137,46,1
8.238,51,1
8.338,62,1
8.438,59,1
8.539,67,1
8.639,64,1
8.74,63,1
8.841,64,1
8.941,60,1
9.041,64,1
9.142,57,1
9.242,63,1
9.342,69,1
9.443,83,1
9.544,86,1
9.645,93,1
9.745,92,1
9.845,93,1
9.946,89,1
10.046,78,1
10.146,78,1
10.247,68,1
10.348,54,1
10.448,38,0
10.549,26,0
10.649,17,0
10.749,13,0
10.85,10,0
10.951,9,0
11.052,8,0
11.152,8,0
11.252,7,0
11.353,5,0
11.453,5,0
11.554,5,0
11.655,5,0
11.755,6,0
11.855,5,0
11.956,6,0
12.056,7,0
12.156,7,0
12.258,8,0
12.358,9,0
12.459,11,0
12.559,13,0
12.659,14,0
12.76,15,0
