time,filtered_emg
0.0,-1
0.1,-1
0.2,-1
0.301,-1
0.401,8
0.501,12
0.602,16
0.702,18
0.802,24
0.903,39
1.003,41
1.103,40
1.205,54
1.305,60
1.405,60
1.506,61
1.606,60
1.707,68
1.807,65
1.907,52
2.009,60
2.109,69
2.209,71
2.31,82
2.41,95
2.51,98
2.611,101
2.711,93
2.811,93
2.913,95
3.013,91
3.113,80
3.214,63
3.314,46
3.415,30
3.515,24
3.615,18
3.717,18
3.817,20
3.917,22
4.018,26
4.118,38
4.218,44
4.319,51
4.419,52
4.52,60
4.621,60
4.721,64
4.822,60
4.922,58
5.022,49
5.123,45
5.223,46
5.323,46
5.425,52
5.525,53
5.625,66
5.726,76
5.826,83
5.926,86
6.027,86
6.127,77
6.228,74
6.329,70
6.429,64
6.53,54
6.63,41
6.73,28
6.831,20
6.931,14
7.032,13
7.133,13
7.233,10
7.333,7
7.434,9
7.534,10
7.634,15
7.735,21
7.835,22
7.937,31
8.037,38
8.137,46
8.238,51
8.338,62
8.438,59
8.539,67
8.639,64
8.74,63
8.841,64
8.941,60
9.041,64
9.142,57
9.242,63
9.342,69
9.443,83
9.544,86
9.645,93
9.745,92
9.845,93
9.946,89
10.046,78
10.146,78
10.247,68
10.348,54
10.448,38
10.549,26
10.649,17
10.749,13
10.85,10
10.951,9
11.052,8
11.152,8
11.252,7
11.353,5
11.453,5
11.554,5
11.655,5
11.755,6
11.855,5
11.956,6
12.056,7
12.156,7
12.258,8
12.358,9
12.459,11
12.559,13
12.659,14
12.76,15
12.861,20
12.961,28
13.062,28
13.162,36
13.262,35
13.363,39
13.464,41
13.564,47
13.665,48
13.765,48
13.865,53
13.966,52
14.067,55
14.168,56
14.268,65
14.368,65
14.469,74
14.569,79
14.67,89
14.771,95
14.871,94
14.971,91
15.072,90
15.172,87
15.272,82
15.374,81
15.474,69
15.575,55
15.675,43
15.775,35
15.876,28
15.977,22
16.077,19
16.178,14
16.278,10
16.378,6
16.479,5
16.58,15
16.68,15
16.781,23
