time,filtered_emg,gesture
0.0,-1,Muscle is at relax
0.1,-1,Muscle is at relax
0.2,-1,Muscle is at relax
0.301,-1,Muscle is at relax
0.401,8,Muscle is at relax
0.501,12,Muscle is at relax
0.602,16,Muscle is at relax
0.702,18,Muscle is at relax
0.802,24,Muscle is at relax
0.903,39,Muscle is at relax
1.003,41,Muscle is at relax
1.103,40,Muscle is at relax
1.205,54,Muscle is at relax
1.305,60,Muscle is at relax
1.405,60,Muscle is at relax
1.506,61,Muscle is at relax
1.606,60,Muscle is at relax
1.707,68,Muscle is at relax
1.807,65,Muscle is at relax
1.907,52,Muscle is at relax
2.009,60,Muscle is at relax
2.109,69,Muscle is at relax
2.209,71,Muscle is at relax
2.31,82,Muscle is at relax
2.41,95,Muscle is at relax
2.51,98,Muscle is at relax
2.611,101,Muscle is activated
2.711,93,Muscle is at relax
2.811,93,Muscle is at relax
2.913,95,Muscle is at relax
3.013,91,Muscle is at relax
3.113,80,Muscle is at relax
3.214,63,Muscle is at relax
3.314,46,Muscle is at relax
3.415,30,Muscle is at relax
3.515,24,Muscle is at relax
3.615,18,Muscle is at relax
3.717,18,Muscle is at relax
3.817,20,Muscle is at relax
3.917,22,Muscle is at relax
4.018,26,Muscle is at relax
4.118,38,Muscle is at relax
4.218,44,Muscle is at relax
4.319,51,Muscle is at relax
4.419,52,Muscle is at relax
4.52,60,Muscle is at relax
4.621,60,Muscle is at relax
4.721,64,Muscle is at relax
4.822,60,Muscle is at relax
4.922,58,Muscle is at relax
5.022,49,Muscle is at relax
5.123,45,Muscle is at relax
5.223,46,Muscle is at relax
5.323,46,Muscle is at relax
5.425,52,Muscle is at relax
5.525,53,Muscle is at relax
5.625,66,Muscle is at relax
5.726,76,Muscle is at relax
5.826,83,Muscle is at relax
5.926,86,Muscle is at relax
6.027,86,Muscle is at relax
6.127,77,Muscle is at relax
6.228,74,Muscle is at relax
6.329,70,Muscle is at relax
6.429,64,Muscle is at relax
6.53,54,Muscle is at relax
6.63,41,Muscle is at relax
6.73,28,Muscle is at relax
6.831,20,Muscle is at relax
6.931,14,Muscle is at relax
7.032,13,Muscle is at relax
7.133,13,Muscle is at relax
7.233,10,Muscle is at relax
7.333,7,Muscle is at relax
7.434,9,Muscle is at relax
7.534,10,Muscle is at relax
7.634,15,Muscle is at relax
7.735,21,Muscle is at relax
7.835,22,Muscle is at relax
7.937,31,Muscle is at relax
8.037,38,Muscle is at relax
8.137,46,Muscle is at relax
8.238,51,Muscle is at relax
8.338,62,Muscle is at relax
8.438,59,Muscle is at relax
8.539,67,Muscle is at relax
8.639,64,Muscle is at relax
8.74,63,Muscle is at relax
8.841,64,Muscle is at relax
8.941,60,Muscle is at relax
9.041,64,Muscle is at relax
9.142,57,Muscle is at relax
9.242,63,Muscle is at relax
9.342,69,Muscle is at relax
9.443,83,Muscle is at relax
9.544,86,Muscle is at relax
9.645,93,Muscle is at relax
9.745,92,Muscle is at relax
9.845,93,Muscle is at relax
9.946,89,Muscle is at relax
10.046,78,Muscle is at relax
10.146,78,Muscle is at relax
10.247,68,Muscle is at relax
10.348,54,Muscle is at relax
10.448,38,Muscle is at relax
10.549,26,Muscle is at relax
10.649,17,Muscle is at relax
10.749,13,Muscle is at relax
10.85,10,Muscle is at relax
10.951,9,Muscle is at relax
11.052,8,Muscle is at relax
11.152,8,Muscle is at relax
11.252,7,Muscle is at relax
11.353,5,Muscle is at relax
11.453,5,Muscle is at relax
11.554,5,Muscle is at relax
11.655,5,Muscle is at relax
11.755,6,Muscle is at relax
11.855,5,Muscle is at relax
11.956,6,Muscle is at relax
12.056,7,Muscle is at relax
12.156,7,Muscle is at relax
12.258,8,Muscle is at relax
12.358,9,Muscle is at relax
12.459,11,Muscle is at relax
12.559,13,Muscle is at relax
12.659,14,Muscle is at relax
12.76,15,Muscle is at relax
12.861,20,Muscle is at relax
12.961,28,Muscle is at relax
13.062,28,Muscle is at relax
13.162,36,Muscle is at relax
13.262,35,Muscle is at relax
13.363,39,Muscle is at relax
13.464,41,Muscle is at relax
13.564,47,Muscle is at relax
13.665,48,Muscle is at relax
13.765,48,Muscle is at relax
13.865,53,Muscle is at relax
13.966,52,Muscle is at relax
14.067,55,Muscle is at relax
14.168,56,Muscle is at relax
14.268,65,Muscle is at relax
14.368,65,Muscle is at relax
14.469,74,Muscle is at relax
14.569,79,Muscle is at relax
14.67,89,Muscle is at relax
14.771,95,Muscle is at relax
14.871,94,Muscle is at relax
14.971,91,Muscle is at relax
15.072,90,Muscle is at relax
15.172,87,Muscle is at relax
15.272,82,Muscle is at relax
15.374,81,Muscle is at relax
15.474,69,Muscle is at relax
15.575,55,Muscle is at relax
15.675,43,Muscle is at relax
15.775,35,Muscle is at relax
15.876,28,Muscle is at relax
15.977,22,Muscle is at relax
16.077,19,Muscle is at relax
16.178,14,Muscle is at relax
16.278,10,Muscle is at relax
16.378,6,Muscle is at relax
16.479,5,Muscle is at relax
16.58,15,Muscle is at relax
16.68,15,Muscle is at relax
16.781,23,Muscle is at relax
16.881,27,Muscle is at relax
16.982,37,Muscle is at relax
17.082,48,Muscle is at relax
17.183,55,Muscle is at relax
17.284,60,Muscle is at relax
17.384,66,Muscle is at relax
