time,filtered_emg,gesture
0.0,-1,Hand is at Rest
0.1,-1,Hand is at Rest
0.2,-1,Hand is at Rest
0.301,-1,Hand is at Rest
0.401,8,Hand is at Rest
0.501,12,Hand is at Rest
0.602,16,Hand is at Rest
0.702,18,Hand is at Rest
0.802,24,Hand is at Rest
0.903,39,Hand is at Rest
1.003,41,Hand is Moving
1.103,40,Hand is at Rest
1.205,54,Hand is Moving
1.305,60,Hand is Moving
1.405,60,Hand is Moving
1.506,61,Hand is Moving
1.606,60,Hand is Moving
1.707,68,Hand is Moving
1.807,65,Hand is Moving
1.907,52,Hand is Moving
2.009,60,Hand is Moving
2.109,69,Hand is Moving
2.209,71,Hand is Moving
2.31,82,Hand is Moving
2.41,95,Hand is Moving
2.51,98,Hand is Moving
2.611,101,Hand is Moving
2.711,93,Hand is Moving
2.811,93,Hand is Moving
2.913,95,Hand is Moving
3.013,91,Hand is Moving
3.113,80,Hand is Moving
3.214,63,Hand is Moving
3.314,46,Hand is Moving
3.415,30,Hand is at Rest
3.515,24,Hand is at Rest
3.615,18,Hand is at Rest
3.717,18,Hand is at Rest
3.817,20,Hand is at Rest
3.917,22,Hand is at Rest
4.018,26,Hand is at Rest
4.118,38,Hand is at Rest
4.218,44,Hand is Moving
4.319,51,Hand is Moving
4.419,52,Hand is Moving
4.52,60,Hand is Moving
4.621,60,Hand is Moving
4.721,64,Hand is Moving
4.822,60,Hand is Moving
4.922,58,Hand is Moving
5.022,49,Hand is Moving
5.123,45,Hand is Moving
5.223,46,Hand is Moving
5.323,46,Hand is Moving
5.425,52,Hand is Moving
5.525,53,Hand is Moving
5.625,66,Hand is Moving
5.726,76,Hand is Moving
5.826,83,Hand is Moving
5.926,86,Hand is Moving
6.027,86,Hand is Moving
6.127,77,Hand is Moving
6.228,74,Hand is Moving
6.329,70,Hand is Moving
6.429,64,Hand is Moving
6.53,54,Hand is Moving
6.63,41,Hand is Moving
6.73,28,Hand is at Rest
6.831,20,Hand is at Rest
6.931,14,Hand is at Rest
7.032,13,Hand is at Rest
7.133,13,Hand is at Rest
7.233,10,Hand is at Rest
7.333,7,Hand is at Rest
7.434,9,Hand is at Rest
7.534,10,Hand is at Rest
7.634,15,Hand is at Rest
7.735,21,Hand is at Rest
7.835,22,Hand is at Rest
7.937,31,Hand is at Rest
8.037,38,Hand is at Rest
8.137,46,Hand is Moving
8.238,51,Hand is Moving
8.338,62,Hand is Moving
8.438,59,Hand is Moving
8.539,67,Hand is Moving
8.639,64,Hand is Moving
8.74,63,Hand is Moving
8.841,64,Hand is Moving
8.941,60,Hand is Moving
9.041,64,Hand is Moving
9.142,57,Hand is Moving
9.242,63,Hand is Moving
9.342,69,Hand is Moving
9.443,83,Hand is Moving
9.544,86,Hand is Moving
9.645,93,Hand is Moving
9.745,92,Hand is Moving
9.845,93,Hand is Moving
9.946,89,Hand is Moving
10.046,78,Hand is Moving
10.146,78,Hand is Moving
10.247,68,Hand is Moving
10.348,54,Hand is Moving
10.448,38,Hand is at Rest
10.549,26,Hand is at Rest
10.649,17,Hand is at Rest
10.749,13,Hand is at Rest
10.85,10,Hand is at Rest
10.951,9,Hand is at Rest
11.052,8,Hand is at Rest
11.152,8,Hand is at Rest
11.252,7,Hand is at Rest
11.353,5,Hand is at Rest
11.453,5,Hand is at Rest
11.554,5,Hand is at Rest
11.655,5,Hand is at Rest
11.755,6,Hand is at Rest
11.855,5,Hand is at Rest
11.956,6,Hand is at Rest
12.056,7,Hand is at Rest
12.156,7,Hand is at Rest
12.258,8,Hand is at Rest
12.358,9,Hand is at Rest
12.459,11,Hand is at Rest
12.559,13,Hand is at Rest
12.659,14,Hand is at Rest
12.76,15,Hand is at Rest
12.861,20,Hand is at Rest
12.961,28,Hand is at Rest
13.062,28,Hand is at Rest
13.162,36,Hand is at Rest
13.262,35,Hand is at Rest
13.363,39,Hand is at Rest
13.464,41,Hand is Moving
13.564,47,Hand is Moving
13.665,48,Hand is Moving
13.765,48,Hand is Moving
13.865,53,Hand is Moving
13.966,52,Hand is Moving
14.067,55,Hand is Moving
14.168,56,Hand is Moving
14.268,65,Hand is Moving
14.368,65,Hand is Moving
14.469,74,Hand is Moving
14.569,79,Hand is Moving
14.67,89,Hand is Moving
14.771,95,Hand is Moving
14.871,94,Hand is Moving
14.971,91,Hand is Moving
15.072,90,Hand is Moving
15.172,87,Hand is Moving
15.272,82,Hand is Moving
15.374,81,Hand is Moving
15.474,69,Hand is Moving
15.575,55,Hand is Moving
15.675,43,Hand is Moving
15.775,35,Hand is at Rest
15.876,28,Hand is at Rest
15.977,22,Hand is at Rest
16.077,19,Hand is at Rest
16.178,14,Hand is at Rest
16.278,10,Hand is at Rest
16.378,6,Hand is at Rest
16.479,5,Hand is at Rest
16.58,15,Hand is at Rest
16.68,15,Hand is at Rest
16.781,23,Hand is at Rest
16.881,27,Hand is at Rest
16.982,37,Hand is at Rest
17.082,48,Hand is Moving
17.183,55,Hand is Moving
17.284,60,Hand is Moving
17.384,66,Hand is Moving
17.484,66,Hand is Moving
17.585,62,Hand is Moving
17.685,66,Hand is Moving
17.786,60,Hand is Moving
