time,filtered_emg,gesture
0.0,-1,Hand is at Rest
0.1,-1,Hand is at Rest
0.2,-1,Hand is at Rest
0.301,-1,Hand is at Rest
0.401,0,Hand is at Rest
0.501,0,Hand is at Rest
0.602,0,Hand is at Rest
0.702,0,Hand is at Rest
0.802,1,Hand is at Rest
0.903,1,Hand is at Rest
1.003,2,Hand is at Rest
1.103,2,Hand is at Rest
1.204,2,Hand is at Rest
1.304,4,Hand is at Rest
1.404,6,Hand is at Rest
1.505,8,Hand is at Rest
1.605,10,Hand is at Rest
1.707,15,Hand is at Rest
1.807,16,Hand is at Rest
1.907,17,Hand is at Rest
2.008,17,Hand is at Rest
2.108,19,Hand is at Rest
2.208,21,Hand is at Rest
2.309,19,Hand is at Rest
2.409,21,Hand is at Rest
2.51,23,Hand is at Rest
2.611,24,Hand is at Rest
2.711,25,Hand is at Rest
2.811,32,Hand is at Rest
2.912,38,Hand is Moving
3.012,49,Hand is Moving
3.112,52,Hand is Moving
3.213,61,Hand is Moving
3.313,72,Hand is Moving
3.415,80,Hand is Moving
3.515,85,Hand is Moving
3.615,83,Hand is Moving
3.716,79,Hand is Moving
3.816,77,Hand is Moving
3.916,77,Hand is Moving
4.017,74,Hand is Moving
4.117,79,Hand is Moving
4.218,81,Hand is Moving
4.319,75,Hand is Moving
4.419,68,Hand is Moving
4.519,68,Hand is Moving
4.62,69,Hand is Moving
4.72,72,Hand is Moving
4.82,69,Hand is Moving
4.921,62,Hand is Moving
5.022,55,Hand is Moving
5.123,44,Hand is Moving
5.223,34,Hand is at Rest
5.323,29,Hand is at Rest
5.424,25,Hand is at Rest
5.524,19,Hand is at Rest
5.624,16,Hand is at Rest
5.725,13,Hand is at Rest
5.825,13,Hand is at Rest
5.926,15,Hand is at Rest
6.027,15,Hand is at Rest
6.127,17,Hand is at Rest
6.227,16,Hand is at Rest
6.328,16,Hand is at Rest
6.428,17,Hand is at Rest
6.529,16,Hand is at Rest
6.629,17,Hand is at Rest
6.73,18,Hand is at Rest
6.831,21,Hand is at Rest
6.931,25,Hand is at Rest
7.031,37,Hand is at Rest
7.132,42,Hand is Moving
7.232,45,Hand is Moving
7.332,52,Hand is Moving
7.433,63,Hand is Moving
7.534,75,Hand is Moving
7.634,89,Hand is Moving
7.735,102,Hand is Moving
7.835,108,Hand is Moving
7.936,109,Hand is Moving
8.036,96,Hand is Moving
8.136,95,Hand is Moving
8.237,96,Hand is Moving
8.337,94,Hand is Moving
8.438,91,Hand is Moving
8.539,87,Hand is Moving
8.639,78,Hand is Moving
8.739,70,Hand is Moving
8.84,65,Hand is Moving
8.94,63,Hand is Moving
9.04,63,Hand is Moving
9.141,60,Hand is Moving
9.242,55,Hand is Moving
9.342,50,Hand is Moving
9.443,44,Hand is Moving
9.543,36,Hand is at Rest
9.644,30,Hand is at Rest
9.744,27,Hand is at Rest
9.844,26,Hand is at Rest
9.945,24,Hand is at Rest
10.046,28,Hand is at Rest
10.146,26,Hand is at Rest
10.247,30,Hand is at Rest
10.347,34,Hand is at Rest
10.447,33,Hand is at Rest
10.548,36,Hand is at Rest
10.648,42,Hand is Moving
10.749,45,Hand is Moving
10.85,49,Hand is Moving
10.95,57,Hand is Moving
11.051,65,Hand is Moving
11.151,75,Hand is Moving
11.251,81,Hand is Moving
11.353,79,Hand is Moving
11.453,81,Hand is Moving
11.553,81,Hand is Moving
11.654,75,Hand is Moving
11.754,68,Hand is Moving
11.854,59,Hand is Moving
11.956,49,Hand is Moving
12.056,38,Hand is Moving
12.156,32,Hand is at Rest
12.257,22,Hand is at Rest
12.357,20,Hand is at Rest
12.457,20,Hand is at Rest
12.559,21,Hand is at Rest
12.659,22,Hand is at Rest
12.76,25,Hand is at Rest
12.86,28,Hand is at Rest
12.96,31,Hand is at Rest
13.061,31,Hand is at Rest
13.161,32,Hand is at Rest
13.262,38,Hand is Moving
13.363,49,Hand is Moving
13.463,66,Hand is Moving
13.563,86,Hand is Moving
13.664,96,Hand is Moving
13.764,94,Hand is Moving
13.865,91,Hand is Moving
13.966,96,Hand is Moving
14.066,112,Hand is Moving
14.167,129,Hand is Moving
14.267,145,Hand is Moving
14.367,152,Hand is Moving
14.469,143,Hand is Moving
14.569,127,Hand is Moving
14.669,120,Hand is Moving
14.77,121,Hand is Moving
14.87,122,Hand is Moving
14.97,117,Hand is Moving
15.072,104,Hand is Moving
15.172,88,Hand is Moving
15.272,77,Hand is Moving
15.373,60,Hand is Moving
15.473,53,Hand is Moving
15.574,48,Hand is Moving
15.675,42,Hand is Moving
15.775,41,Hand is Moving
15.876,40,Hand is Moving
15.976,41,Hand is Moving
16.076,39,Hand is Moving
16.177,40,Hand is Moving
16.277,37,Hand is at Rest
16.378,37,Hand is at Rest
16.479,36,Hand is at Rest
16.579,37,Hand is at Rest
16.679,39,Hand is Moving
16.78,38,Hand is Moving
16.88,42,Hand is Moving
16.982,44,Hand is Moving
17.082,44,Hand is Moving
17.182,43,Hand is Moving
17.283,40,Hand is Moving
17.383,47,Hand is Moving
17.483,53,Hand is Moving
17.585,54,Hand is Moving
17.685,56,Hand is Moving
17.785,63,Hand is Moving
17.886,59,Hand is Moving
