time, filtered_emg
1,194.0
2,194.0
4,195.0
5,196.0
6,195.0
7,195.0
9,195.0
10,196.0
11,200.0
13,203.0
16,206.0
24,216.0
32,212.0
40,217.0
49,219.0
58,224.0
66,217.0
74,212.0
82,205.0
91,205.0
99,202.0
107,204.0
117,205.0
126,206.0
136,215.0
145,211.0
154,208.0
163,208.0
173,204.0
182,204.0
192,198.0
201,195.0
210,192.0
220,194.0
229,196.0
238,197.0
247,196.0
258,202.0
267,200.0
276,203.0
285,207.0
294,209.0
304,203.0
313,205.0
323,206.0
332,206.0
342,210.0
351,206.0
360,209.0
369,217.0
378,214.0
389,214.0
398,212.0
407,213.0
416,212.0
425,210.0
435,221.0
444,223.0
454,229.0
463,240.0
473,232.0
482,228.0
491,219.0
500,214.0
509,212.0
520,208.0
529,212.0
538,215.0
547,215.0
557,216.0
566,212.0
575,214.0
585,209.0
594,216.0
604,217.0
613,224.0
622,222.0
631,224.0
641,219.0
651,210.0
660,207.0
669,200.0
678,198.0
688,197.0
697,199.0
706,206.0
716,214.0
726,219.0
735,226.0
744,220.0
753,219.0
762,214.0
772,213.0
781,213.0
791,212.0
800,215.0
809,217.0
819,218.0
828,218.0
837,213.0
846,215.0
857,213.0
866,214.0
875,214.0
884,211.0
893,209.0
903,208.0
912,211.0
922,208.0
931,211.0
941,204.0
950,203.0
959,205.0
968,211.0
977,212.0
988,206.0
997,207.0
1006,211.0
1016,220.0
1027,228.0
1037,234.0
1047,238.0
1058,242.0
1069,238.0
1079,241.0
1089,236.0
1099,229.0
1110,225.0
1121,225.0
1131,226.0
1141,226.0
1152,224.0
1162,223.0
1172,222.0
1183,221.0
1193,221.0
1204,220.0
1214,218.0
1224,211.0
1234,214.0
1245,212.0
1256,209.0
1266,207.0
1276,206.0
1287,208.0
1297,207.0
1307,210.0
1318,214.0
1329,214.0
1339,211.0
1349,208.0
1359,206.0
1370,204.0
1380,206.0
1391,216.0
1401,225.0
1412,232.0
1422,239.0
1432,236.0
1442,231.0
1454,227.0
1464,229.0
1474,228.0
1484,230.0
1495,232.0
1505,229.0
1516,230.0
1526,232.0
1537,229.0
1547,227.0
1557,222.0
1567,218.0
1577,214.0
1589,208.0
1599,207.0
1609,208.0
1619,217.0
1630,227.0
1640,227.0
1651,225.0
1661,218.0
1672,211.0
1682,208.0
